cuisine,dish_name,ingredients,cooking_time_min,spice_level,calories
Brazilian,Pizza,"Dough, Pork, Cabbage",90,4,377
Turkish,Feijoada,"Flour, Butter, Yeast",178,2,117
Vietnamese,Kebab,"Tomatoes, Cheese, Olive Oil",83,3,623
Vietnamese,Sushi,"Beans, Rice, Pork",147,2,279
Thai,Curry,"Corn, Meat, Chili",144,3,222
Chinese,Dumpling,"Rice, Saffron, Seafood",134,0,345
Korean,Hummus,"Rice, Fish, Seaweed",59,7,833
Spanish,Curry,"Dough, Pork, Cabbage",61,3,472
Moroccan,Dumpling,"Spices, Rice, Vegetables",170,6,150
Vietnamese,Curry,"Broth, Rice Noodles, Beef",10,1,170
Lebanese,Moussaka,"Beans, Rice, Pork",171,1,579
Vietnamese,Sushi,"Beans, Rice, Pork",13,5,659
Moroccan,Baguette,"Broth, Rice Noodles, Beef",154,1,118
Moroccan,Curry,"Rice, Vegetables, Egg",141,5,873
Lebanese,Bibimbap,"Rice, Saffron, Seafood",13,1,183
Vietnamese,Hummus,"Dough, Pork, Cabbage",10,3,254
Thai,Sushi,"Rice, Vegetables, Egg",80,6,664
Brazilian,Paella,"Rice, Saffron, Seafood",44,7,718
Indian,Taco,"Rice Noodles, Peanuts, Tofu",17,2,456
Korean,Curry,"Chickpeas, Olive Oil, Tahini",161,8,915
Indian,Dumpling,"Beans, Rice, Pork",45,1,746
Ethiopian,Tagine,"Rice, Saffron, Seafood",132,7,542
Italian,Pad Thai,"Beans, Rice, Pork",52,7,168
Spanish,Pho,"Beans, Rice, Pork",36,3,622
Brazilian,Baguette,"Eggplant, Potatoes, Cheese",41,0,242
Japanese,Curry,"Rice, Fish, Seaweed",87,0,291
Ethiopian,Pizza,"Lamb, Spices, Yogurt",130,1,486
Brazilian,Hummus,"Rice, Fish, Seaweed",155,8,477
Indian,Feijoada,"Broth, Rice Noodles, Beef",165,1,680
Turkish,Paella,"Tomatoes, Cheese, Olive Oil",166,1,634
Vietnamese,Hummus,"Rice Noodles, Peanuts, Tofu",25,5,792
Brazilian,Curry,"Chickpeas, Olive Oil, Tahini",108,6,392
Turkish,Bibimbap,"Broth, Rice Noodles, Beef",56,6,108
Mexican,Pizza,"Spices, Rice, Vegetables",40,8,370
Indian,Dumpling,"Teff Flour, Vegetables, Lentils",13,5,486
Turkish,Pad Thai,"Flour, Butter, Yeast",174,7,192
Japanese,Hummus,"Chickpeas, Olive Oil, Tahini",26,5,628
Moroccan,Pizza,"Rice, Saffron, Seafood",48,1,253
Moroccan,Paella,"Rice Noodles, Peanuts, Tofu",57,0,504
Lebanese,Bibimbap,"Rice Noodles, Peanuts, Tofu",48,4,939
Korean,Kebab,"Flour, Butter, Yeast",141,8,248
Italian,Bibimbap,"Teff Flour, Vegetables, Lentils",39,7,988
Japanese,Baguette,"Dough, Pork, Cabbage",167,3,366
Spanish,Dumpling,"Rice Noodles, Peanuts, Tofu",31,4,521
Indian,Pad Thai,"Spices, Meat, Vegetables",75,4,939
Chinese,Feijoada,"Flour, Butter, Yeast",117,5,717
Thai,Pizza,"Rice, Fish, Seaweed",21,2,571
Italian,Baguette,"Lamb, Spices, Yogurt",45,4,992
Korean,Feijoada,"Dough, Pork, Cabbage",27,1,646
Korean,Moussaka,"Teff Flour, Vegetables, Lentils",99,9,730
Chinese,Taco,"Rice, Fish, Seaweed",10,0,625
Lebanese,Bibimbap,"Broth, Rice Noodles, Beef",136,0,602
Spanish,Pad Thai,"Flour, Butter, Yeast",99,9,113
Japanese,Feijoada,"Rice, Saffron, Seafood",96,6,877
Ethiopian,Dumpling,"Teff Flour, Vegetables, Lentils",99,1,751
Lebanese,Pad Thai,"Dough, Pork, Cabbage",143,3,905
Thai,Taco,"Lamb, Spices, Yogurt",79,4,463
Thai,Moussaka,"Broth, Rice Noodles, Beef",53,6,218
Brazilian,Tagine,"Spices, Meat, Vegetables",161,1,337
Thai,Pad Thai,"Corn, Meat, Chili",95,5,645
Moroccan,Curry,"Rice, Saffron, Seafood",28,0,268
Greek,Dumpling,"Lamb, Spices, Yogurt",110,6,621
Chinese,Taco,"Rice, Vegetables, Egg",155,8,733
Moroccan,Pho,"Corn, Meat, Chili",104,4,756
Korean,Tagine,"Eggplant, Potatoes, Cheese",110,4,834
Vietnamese,Injera,"Rice, Saffron, Seafood",39,3,982
Thai,Hummus,"Corn, Meat, Chili",179,2,868
Spanish,Hummus,"Rice, Fish, Seaweed",42,8,879
Ethiopian,Tagine,"Rice, Fish, Seaweed",21,4,970
French,Moussaka,"Spices, Meat, Vegetables",127,7,615
Lebanese,Curry,"Beans, Rice, Pork",103,8,496
Korean,Taco,"Teff Flour, Vegetables, Lentils",164,4,965
Moroccan,Taco,"Rice, Vegetables, Egg",176,9,205
Korean,Tagine,"Teff Flour, Vegetables, Lentils",146,8,184
Italian,Paella,"Spices, Meat, Vegetables",158,1,313
Greek,Taco,"Chickpeas, Olive Oil, Tahini",85,8,220
Japanese,Pho,"Broth, Rice Noodles, Beef",38,3,231
Spanish,Moussaka,"Rice, Fish, Seaweed",170,5,949
French,Taco,"Rice Noodles, Peanuts, Tofu",126,5,296
Mexican,Pad Thai,"Lamb, Spices, Yogurt",24,5,118
Greek,Pad Thai,"Corn, Meat, Chili",11,1,741
Thai,Baguette,"Rice, Fish, Seaweed",126,6,111
Turkish,Paella,"Tomatoes, Cheese, Olive Oil",27,5,180
Korean,Moussaka,"Rice, Fish, Seaweed",12,0,429
Japanese,Curry,"Tomatoes, Cheese, Olive Oil",144,1,965
Lebanese,Sushi,"Flour, Butter, Yeast",175,6,873
Thai,Tagine,"Rice, Saffron, Seafood",174,0,491
Spanish,Feijoada,"Teff Flour, Vegetables, Lentils",170,0,736
Indian,Moussaka,"Eggplant, Potatoes, Cheese",117,0,406
Moroccan,Dumpling,"Flour, Butter, Yeast",104,7,366
Brazilian,Curry,"Flour, Butter, Yeast",131,3,546
Turkish,Feijoada,"Chickpeas, Olive Oil, Tahini",20,3,540
Indian,Sushi,"Teff Flour, Vegetables, Lentils",77,1,994
Turkish,Injera,"Spices, Rice, Vegetables",132,0,751
Moroccan,Bibimbap,"Eggplant, Potatoes, Cheese",122,9,940
Vietnamese,Pho,"Beans, Rice, Pork",107,8,101
Greek,Pad Thai,"Broth, Rice Noodles, Beef",102,6,619
Mexican,Paella,"Corn, Meat, Chili",31,3,861
Japanese,Pad Thai,"Lamb, Spices, Yogurt",136,5,750
Korean,Tagine,"Teff Flour, Vegetables, Lentils",143,1,735
Italian,Feijoada,"Spices, Meat, Vegetables",179,6,408
French,Taco,"Rice, Vegetables, Egg",34,1,839
Greek,Paella,"Eggplant, Potatoes, Cheese",94,9,621
Indian,Dumpling,"Rice, Fish, Seaweed",64,7,568
Moroccan,Hummus,"Broth, Rice Noodles, Beef",153,7,311
Greek,Taco,"Dough, Pork, Cabbage",104,0,211
Turkish,Baguette,"Eggplant, Potatoes, Cheese",151,7,107
Lebanese,Injera,"Rice Noodles, Peanuts, Tofu",176,1,903
Spanish,Curry,"Spices, Rice, Vegetables",165,5,576
Mexican,Feijoada,"Dough, Pork, Cabbage",128,0,973
Vietnamese,Paella,"Teff Flour, Vegetables, Lentils",18,4,559
Moroccan,Pad Thai,"Spices, Rice, Vegetables",159,6,352
Indian,Kebab,"Flour, Butter, Yeast",169,9,625
Thai,Bibimbap,"Beans, Rice, Pork",51,0,851
Thai,Curry,"Spices, Rice, Vegetables",62,1,537
Turkish,Pho,"Broth, Rice Noodles, Beef",83,6,853
Greek,Pad Thai,"Rice Noodles, Peanuts, Tofu",48,5,953
Korean,Dumpling,"Spices, Rice, Vegetables",131,2,760
Turkish,Kebab,"Corn, Meat, Chili",24,9,335
Indian,Hummus,"Beans, Rice, Pork",166,1,405
Korean,Hummus,"Teff Flour, Vegetables, Lentils",132,9,577
Lebanese,Tagine,"Dough, Pork, Cabbage",120,3,778
Japanese,Pizza,"Rice Noodles, Peanuts, Tofu",140,2,119
Spanish,Kebab,"Rice, Fish, Seaweed",92,6,315
Korean,Sushi,"Teff Flour, Vegetables, Lentils",19,7,954
Greek,Moussaka,"Teff Flour, Vegetables, Lentils",101,1,234
Spanish,Curry,"Rice, Fish, Seaweed",38,9,228
Chinese,Hummus,"Chickpeas, Olive Oil, Tahini",44,6,509
Chinese,Pad Thai,"Flour, Butter, Yeast",15,7,521
Mexican,Sushi,"Broth, Rice Noodles, Beef",149,5,393
Mexican,Taco,"Teff Flour, Vegetables, Lentils",120,5,345
Korean,Pho,"Flour, Butter, Yeast",47,9,800
Spanish,Bibimbap,"Eggplant, Potatoes, Cheese",86,0,655
Greek,Injera,"Corn, Meat, Chili",102,3,185
Vietnamese,Baguette,"Spices, Meat, Vegetables",156,0,655
Greek,Tagine,"Rice, Saffron, Seafood",76,3,941
Moroccan,Dumpling,"Rice, Saffron, Seafood",145,1,474
Brazilian,Injera,"Chickpeas, Olive Oil, Tahini",17,4,545
Spanish,Feijoada,"Teff Flour, Vegetables, Lentils",131,9,477
Greek,Kebab,"Chickpeas, Olive Oil, Tahini",93,8,489
French,Hummus,"Flour, Butter, Yeast",141,9,756
Vietnamese,Feijoada,"Tomatoes, Cheese, Olive Oil",94,2,150
Mexican,Moussaka,"Rice, Vegetables, Egg",54,7,341
Thai,Pizza,"Corn, Meat, Chili",145,2,393
Turkish,Feijoada,"Broth, Rice Noodles, Beef",96,5,662
Ethiopian,Bibimbap,"Teff Flour, Vegetables, Lentils",25,3,365
Vietnamese,Hummus,"Spices, Rice, Vegetables",86,7,219
Vietnamese,Injera,"Rice, Fish, Seaweed",18,5,811
Spanish,Taco,"Chickpeas, Olive Oil, Tahini",69,7,347
Brazilian,Tagine,"Broth, Rice Noodles, Beef",87,0,169
Greek,Kebab,"Flour, Butter, Yeast",86,5,952
Indian,Taco,"Flour, Butter, Yeast",80,0,156
Indian,Dumpling,"Broth, Rice Noodles, Beef",24,0,481
Brazilian,Feijoada,"Rice, Vegetables, Egg",80,7,138
Italian,Baguette,"Rice, Saffron, Seafood",111,6,900
Italian,Baguette,"Rice, Vegetables, Egg",178,2,542
Lebanese,Feijoada,"Tomatoes, Cheese, Olive Oil",31,5,117
Mexican,Sushi,"Broth, Rice Noodles, Beef",161,8,831
Ethiopian,Curry,"Beans, Rice, Pork",122,6,924
Ethiopian,Baguette,"Rice Noodles, Peanuts, Tofu",10,2,855
Moroccan,Paella,"Chickpeas, Olive Oil, Tahini",19,5,451
Spanish,Injera,"Beans, Rice, Pork",119,3,915
Turkish,Baguette,"Spices, Meat, Vegetables",122,2,397
Korean,Hummus,"Rice Noodles, Peanuts, Tofu",59,8,382
Lebanese,Injera,"Eggplant, Potatoes, Cheese",21,9,685
Mexican,Moussaka,"Flour, Butter, Yeast",98,1,209
Greek,Moussaka,"Corn, Meat, Chili",163,0,279
Lebanese,Moussaka,"Rice, Fish, Seaweed",121,1,643
Japanese,Bibimbap,"Dough, Pork, Cabbage",87,6,845
Indian,Baguette,"Rice Noodles, Peanuts, Tofu",178,9,893
French,Bibimbap,"Rice, Saffron, Seafood",173,0,124
Spanish,Bibimbap,"Chickpeas, Olive Oil, Tahini",130,5,942
Vietnamese,Moussaka,"Rice, Saffron, Seafood",32,6,890
French,Baguette,"Corn, Meat, Chili",143,8,837
Mexican,Dumpling,"Rice Noodles, Peanuts, Tofu",34,7,156
Italian,Dumpling,"Beans, Rice, Pork",27,5,279
Brazilian,Sushi,"Rice, Saffron, Seafood",150,2,331
Thai,Moussaka,"Chickpeas, Olive Oil, Tahini",52,7,993
Moroccan,Dumpling,"Lamb, Spices, Yogurt",87,6,442
Turkish,Kebab,"Rice, Fish, Seaweed",37,2,576
Mexican,Tagine,"Rice Noodles, Peanuts, Tofu",155,8,898
Greek,Baguette,"Eggplant, Potatoes, Cheese",68,1,675
Thai,Injera,"Corn, Meat, Chili",72,2,554
Korean,Kebab,"Spices, Rice, Vegetables",101,1,331
Korean,Dumpling,"Broth, Rice Noodles, Beef",65,0,388
Thai,Bibimbap,"Spices, Rice, Vegetables",164,3,312
Japanese,Injera,"Corn, Meat, Chili",169,4,357
Turkish,Moussaka,"Spices, Meat, Vegetables",120,5,629
Brazilian,Feijoada,"Lamb, Spices, Yogurt",146,4,786
Greek,Moussaka,"Eggplant, Potatoes, Cheese",77,0,328
Mexican,Hummus,"Eggplant, Potatoes, Cheese",55,2,325
Japanese,Taco,"Dough, Pork, Cabbage",76,0,695
Mexican,Feijoada,"Spices, Rice, Vegetables",163,4,902
Thai,Feijoada,"Rice, Fish, Seaweed",145,4,534
Lebanese,Paella,"Rice, Fish, Seaweed",15,5,981
Japanese,Injera,"Broth, Rice Noodles, Beef",33,7,857
Chinese,Feijoada,"Tomatoes, Cheese, Olive Oil",103,9,501
Mexican,Sushi,"Chickpeas, Olive Oil, Tahini",22,0,721
Turkish,Moussaka,"Corn, Meat, Chili",34,3,865
Spanish,Baguette,"Spices, Rice, Vegetables",157,9,187
Chinese,Baguette,"Broth, Rice Noodles, Beef",127,0,683
Moroccan,Sushi,"Rice, Fish, Seaweed",91,8,992
Spanish,Pizza,"Broth, Rice Noodles, Beef",120,6,641
Thai,Curry,"Broth, Rice Noodles, Beef",91,6,783
Greek,Injera,"Rice, Fish, Seaweed",75,4,408
Vietnamese,Hummus,"Spices, Meat, Vegetables",54,6,442
Turkish,Bibimbap,"Lamb, Spices, Yogurt",123,1,535
Vietnamese,Bibimbap,"Rice, Vegetables, Egg",72,3,276
Japanese,Dumpling,"Spices, Meat, Vegetables",85,6,238
Thai,Taco,"Chickpeas, Olive Oil, Tahini",123,2,293
Spanish,Pho,"Eggplant, Potatoes, Cheese",120,1,285
Korean,Feijoada,"Corn, Meat, Chili",156,9,317
Brazilian,Pizza,"Eggplant, Potatoes, Cheese",44,1,263
Moroccan,Hummus,"Eggplant, Potatoes, Cheese",62,0,260
Brazilian,Pizza,"Spices, Rice, Vegetables",35,4,624
Turkish,Curry,"Dough, Pork, Cabbage",23,5,907
Japanese,Feijoada,"Lamb, Spices, Yogurt",127,5,700
Indian,Pizza,"Flour, Butter, Yeast",54,8,935
Japanese,Hummus,"Lamb, Spices, Yogurt",60,3,141
Italian,Kebab,"Rice Noodles, Peanuts, Tofu",128,0,309
Italian,Hummus,"Broth, Rice Noodles, Beef",160,5,840
French,Hummus,"Rice, Fish, Seaweed",28,4,961
Italian,Tagine,"Rice Noodles, Peanuts, Tofu",91,9,374
Brazilian,Pizza,"Chickpeas, Olive Oil, Tahini",85,5,378
Turkish,Pho,"Beans, Rice, Pork",101,2,350
Ethiopian,Kebab,"Lamb, Spices, Yogurt",42,1,409
Lebanese,Hummus,"Spices, Rice, Vegetables",156,5,819
Thai,Pizza,"Spices, Rice, Vegetables",37,0,932
Indian,Feijoada,"Broth, Rice Noodles, Beef",132,6,239
Japanese,Moussaka,"Lamb, Spices, Yogurt",135,6,891
Greek,Injera,"Rice, Vegetables, Egg",46,9,645
Lebanese,Kebab,"Lamb, Spices, Yogurt",163,6,920
Turkish,Injera,"Rice Noodles, Peanuts, Tofu",108,9,629
Turkish,Pizza,"Chickpeas, Olive Oil, Tahini",107,0,156
Thai,Tagine,"Spices, Meat, Vegetables",136,3,211
Italian,Pho,"Spices, Rice, Vegetables",177,6,104
Spanish,Kebab,"Lamb, Spices, Yogurt",89,8,509
Lebanese,Paella,"Rice, Vegetables, Egg",47,4,513
Vietnamese,Curry,"Rice Noodles, Peanuts, Tofu",86,1,281
Italian,Paella,"Flour, Butter, Yeast",135,6,112
Italian,Moussaka,"Rice, Fish, Seaweed",96,9,438
Italian,Injera,"Eggplant, Potatoes, Cheese",63,0,896
Vietnamese,Pizza,"Beans, Rice, Pork",159,6,358
Moroccan,Taco,"Rice, Saffron, Seafood",25,5,189
Korean,Curry,"Broth, Rice Noodles, Beef",37,6,715
Greek,Paella,"Teff Flour, Vegetables, Lentils",172,9,990
Korean,Sushi,"Dough, Pork, Cabbage",55,2,797
Indian,Curry,"Spices, Meat, Vegetables",81,2,349
Moroccan,Kebab,"Lamb, Spices, Yogurt",94,6,354
Spanish,Hummus,"Rice Noodles, Peanuts, Tofu",35,1,687
Chinese,Taco,"Rice, Saffron, Seafood",94,0,997
